time,expected_gt
0.0,1.44
0.01,1.4114860895617276
0.02,1.3835367923793453
0.03,1.3561409283613182
0.04,1.3292875387967555
0.05,1.3029658819717818
0.06,1.2771654288727068
0.07,1.2518758589742804
0.08,1.2270870561113443
0.09,1.2027891044322316
0.1,1.1789722844322938
0.11,1.155627069065969
0.12,1.132744119935837
0.13,1.1103142835571354
0.14,1.0883285876962445
0.15,1.0667782377816737
0.16,1.0456546133861149
0.17,1.024949264778158
0.18,1.0046539095422846
0.19,0.9847604292657923
0.2,0.9652608662913206
0.21,0.9461474205336817
0.22,0.9274124463597236
0.23,0.9090484495299733
0.24,0.8910480842008428
0.25,0.8734041499861921
0.26,0.8561095890770799
0.27,0.839157483418545
0.28,0.8225410519422934
0.29,0.8062536478541789
0.3,0.7902887559753979
0.31,0.7746399901363312
0.32,0.7593010906219899
0.33,0.7442659216680468
0.34,0.729528469006449
0.35000000000000003,0.7150828374596296
0.36,0.7009232485823592
0.37,0.6870440383502895
0.38,0.6734396548942693
0.39,0.6601046562795219
0.4,0.647033708328799
0.41000000000000003,0.6342215824886389
0.42,0.6216631537378748
0.43,0.6093533985375583
0.44,0.5972873928214771
0.45,0.5854603100264627
0.46,0.5738674191617004
0.47000000000000003,0.5625040829162703
0.48,0.5513657558041614
0.49,0.5404479823460153
0.5,0.529746395286877
0.51,0.5192567138492328
0.52,0.5089747420206434
0.53,0.49889636687528266
0.54,0.4890175569287123
0.55,0.47933436052523454
0.56,0.4698429042571768
0.5700000000000001,0.4605393914154775
0.58,0.45142010047095166
0.59,0.442481383585629
0.6,0.4337196651535711
0.61,0.4251314403705804
0.62,0.4167132738322329
0.63,0.4084617981596694
0.64,0.4003737126525995
0.65,0.3924457819689781
0.66,0.3846748348308245
0.67,0.3770577627556694
0.68,0.36959151881312047
0.6900000000000001,0.3622731164060493
0.7000000000000001,0.3550996280759133
0.71,0.3480681843317325
0.72,0.34117597250225534
0.73,0.3344202356108527
0.74,0.32779827127269034
0.75,0.32130743061373895
0.76,0.31494511721118923
0.77,0.30870878605484825
0.78,0.30259594252910116
0.79,0.29660414141503216
0.8,0.29073098591230373
0.81,0.2849741266804051
0.8200000000000001,0.2793312608988843
0.8300000000000001,0.2738001313461895
0.84,0.26837852549675034
0.85,0.2630642746359379
0.86,0.25785525299255024
0.87,0.2527493768884755
0.88,0.24774460390519276
0.89,0.2428389320667775
0.9,0.2380303990390846
0.91,0.23331708134478826
0.92,0.22869709359396576
0.93,0.2241685877299161
0.9400000000000001,0.21972975228991276
0.9500000000000001,0.21537881168059445
0.96,0.21111402546770422
0.97,0.2069336876798922
0.98,0.2028361261263048
0.99,0.19881970172768565
1.0,0.1948828078607223
1.01,0.19102386971537527
1.02,0.1872413436649333
1.03,0.18353371664854187
1.04,0.17989950556595866
1.05,0.17633725668429392
1.06,0.17284554505649768
1.07,0.16942297395136202
1.08,0.16606817429481002
1.09,0.16277980412224777
1.1,0.15955654804176075
1.11,0.15639711670793946
1.12,0.15330024630612404
1.1300000000000001,0.15026469804686157
1.1400000000000001,0.1472892576703739
1.1500000000000001,0.14437273496083733
1.16,0.14151396327028062
1.17,0.13871179905190997
1.18,0.1359651214026754
1.19,0.13327283161489434
1.2,0.130633852736754
1.21,0.12804712914151634
1.22,0.12551162610525307
1.23,0.12302632939294257
1.24,0.12059024485276218
1.25,0.11820239801841427
1.26,0.1158618337193267
1.27,0.11356761569857192
1.28,0.11131882623835163
1.29,0.1091145657928975
1.3,0.10695395262864078
1.31,0.10483612247150724
1.32,0.10276022816119591
1.33,0.10072543931230371
1.34,0.09873094198216019
1.35,0.09677593834523965
1.36,0.09485964637402024
1.37,0.09298129952616259
1.3800000000000001,0.09114014643788261
1.3900000000000001,0.08933545062339593
1.4000000000000001,0.08756649018031384
1.41,0.08583255750087268
1.42,0.08413295898888119
1.43,0.08246701478227299
1.44,0.08083405848115256
1.45,0.07923343688122642
1.46,0.07766450971251267
1.47,0.07612664938322453
1.48,0.0746192407287252
1.49,0.07314168076545384
1.5,0.07169337844972408
1.51,0.07027375444129866
1.52,0.06888224087164564
1.53,0.06751828111678342
