#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=direct Gtcut=200 tail_param=2
#raw_output=1 trusted_time=17.92 trusted_points=71 tail_sigma=9.06493e-12
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Current VELA direct transform on the multi-tau grid with the legacy k-sigma confidence cutoff reinterpreted as a trusted-window detector.
#muF_raw=0.0121141
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
9.09091 0.0121296 0.00289433 0.0124701 0.0121296 0.0121296 0.00289433 0.00289433
10 0.0110157 0.00247188 0.0112896 0.0110157 0.0110157 0.00247188 0.00247188
11.1111 0.0114909 0.00276334 0.0118185 0.0114909 0.0114909 0.00276334 0.00276334
12.5 0.0114384 0.00246083 0.0117001 0.0114384 0.0114384 0.00246083 0.00246083
14.2857 0.0118623 0.00234722 0.0120923 0.0118623 0.0118623 0.00234722 0.00234722
16.6667 0.0113215 0.00161387 0.0114359 0.0113215 0.0113215 0.00161387 0.00161387
20 0.012604 0.00105548 0.0126481 0.012604 0.012604 0.00105548 0.00105548
25 0.0118346 0.000379716 0.0118407 0.0118346 0.0118346 0.000379716 0.000379716
33.3333 0.0126618 0.000492491 0.0126713 0.0126618 0.0126618 0.000492491 0.000492491
50 0.0115818 0.000878079 0.0116151 0.0115818 0.0115818 0.000878079 0.000878079
100 0.0122811 -0.000364578 0.0122865 0.0122811 0.0122811 -0.000364578 -0.000364578
