#dt=0.01 mode=0 tensor_mode=shear3 branch=reduced centered=1 transform=schwarzl Gtcut=100 tail_param=2
#raw_output=1 trusted_time=35.84 trusted_points=79 tail_sigma=0
#scaling_note=For_LJ_or_reduced_units_use_V_over_kBT;_for_LAMMPS_pressure-unit_input_use_V_over_(kBT*nktv2p)
#note=Schwarzl-style numerical baseline on a log-resampled time grid. This is a transparent numerical baseline, not a byte-identical reproduction of RepTate's helper library.
#muF_raw=1.614
#Frequency(1/time_unit) Gw_storage_red_raw Gw_loss_raw Gw_mag_raw Gw_storage_low_raw Gw_storage_high_raw Gw_loss_low_raw Gw_loss_high_raw
28.3906 1.48576 0.100556 1.48916 1.48576 1.48576 0.100556 0.100556
31.5314 1.53433 -0.00449011 1.53433 1.53433 1.53433 -0.00449011 -0.00449011
35.0196 1.62004 -0.0639066 1.6213 1.62004 1.62004 -0.0639066 -0.0639066
38.8938 1.54744 -0.0332857 1.5478 1.54744 1.54744 -0.0332857 -0.0332857
43.1966 1.74813 0.125133 1.7526 1.74813 1.74813 0.125133 0.125133
47.9754 1.67819 -0.0503235 1.67894 1.67819 1.67819 -0.0503235 -0.0503235
53.2828 1.48109 -0.019146 1.48121 1.48109 1.48109 -0.019146 -0.019146
59.1774 1.73869 0.00742998 1.73871 1.73869 1.73869 0.00742998 0.00742998
65.7241 1.50856 -0.0301443 1.50886 1.50856 1.50856 -0.0301443 -0.0301443
72.9951 1.69142 0.123189 1.6959 1.69142 1.69142 0.123189 0.123189
81.0704 1.71901 0.0891916 1.72133 1.71901 1.71901 0.0891916 0.0891916
90.0391 1.72038 -0.0317859 1.72067 1.72038 1.72038 -0.0317859 -0.0317859
100 1.72359 0.094955 1.72621 1.72359 1.72359 0.094955 0.094955
